estimator,parking_index,theta_hat,successes,exposure
trace_exposure,45,0.15086206896551724,34.0,230.0
trace_exposure,46,0.19230769230769232,29.0,154.0
trace_exposure,47,0.2948717948717949,22.0,76.0
trace_exposure,48,0.660377358490566,34.0,51.0
trace_exposure,49,0.18556701030927836,17.0,95.0
trace_exposure,50,0.2423076923076923,62.0,258.0
trace_exposure,51,0.107981220657277,22.0,211.0
trace_exposure,52,0.195,38.0,198.0
trace_exposure,53,0.43564356435643564,43.0,99.0
trace_exposure,54,0.43617021276595747,40.0,92.0
trace_exposure,55,0.2191780821917808,31.0,144.0
trace_exposure,56,0.2831858407079646,31.0,111.0
trace_exposure,57,0.09292035398230089,20.0,224.0
trace_exposure,58,0.18359375,46.0,254.0
trace_exposure,59,0.2634920634920635,82.0,313.0
trace_exposure,60,0.16744186046511628,35.0,213.0
trace_exposure,61,0.3467741935483871,42.0,122.0
trace_exposure,62,0.4491525423728814,52.0,116.0
trace_exposure,63,0.1925133689839572,35.0,185.0
trace_exposure,64,0.11737089201877934,24.0,211.0
trace_exposure,65,0.2077922077922078,47.0,229.0
trace_exposure,66,0.17307692307692307,53.0,310.0
trace_exposure,67,0.21348314606741572,56.0,265.0
trace_exposure,68,0.15289256198347106,36.0,240.0
trace_exposure,69,0.27439024390243905,44.0,162.0
trace_exposure,70,0.33516483516483514,60.0,180.0
trace_exposure,71,0.17117117117117117,37.0,220.0
trace_exposure,72,0.1716867469879518,56.0,330.0
trace_exposure,73,0.21574344023323616,73.0,341.0
trace_exposure,74,0.20168067226890757,47.0,236.0
trace_exposure,75,0.11904761904761904,29.0,250.0
trace_exposure,76,0.17872340425531916,41.0,233.0
trace_exposure,77,0.22408026755852842,66.0,297.0
trace_exposure,78,0.21428571428571427,65.0,306.0
trace_exposure,79,0.11469534050179211,31.0,277.0
trace_exposure,80,0.208955223880597,41.0,199.0
trace_exposure,81,0.37404580152671757,48.0,129.0
trace_exposure,82,0.24786324786324787,57.0,232.0
trace_exposure,83,0.09230769230769231,17.0,193.0
trace_exposure,84,0.10852713178294573,13.0,127.0
trace_exposure,85,0.2289156626506024,56.0,247.0
trace_exposure,86,0.2129032258064516,65.0,308.0
trace_exposure,87,0.1016949152542373,17.0,175.0
trace_exposure,88,0.2413793103448276,27.0,114.0
trace_exposure,89,0.4409937888198758,70.0,159.0
trace_exposure,90,0.21782178217821782,43.0,200.0
trace_exposure,91,0.14136125654450263,26.0,189.0
trace_exposure,92,0.12,20.0,173.0
trace_exposure,93,0.08088235294117647,10.0,134.0
trace_exposure,94,0.3548387096774194,32.0,91.0
trace_exposure,95,0.7307692307692307,37.0,50.0
trace_exposure,96,0.13513513513513514,19.0,146.0
trace_exposure,97,0.15613382899628253,41.0,267.0
trace_exposure,98,0.11567164179104478,30.0,266.0
trace_exposure,99,0.6212121212121212,40.0,64.0
trace_exposure,100,0.08843537414965986,12.0,145.0
trace_exposure,101,0.19704433497536947,39.0,201.0
trace_exposure,102,0.15639810426540285,32.0,209.0
trace_exposure,103,0.1722689075630252,40.0,236.0
trace_exposure,104,0.2027491408934708,58.0,289.0
trace_exposure,105,0.17410714285714285,38.0,222.0
trace_exposure,106,0.1258741258741259,17.0,141.0
trace_exposure,107,0.2653061224489796,25.0,96.0
trace_exposure,108,0.08823529411764706,14.0,168.0
trace_exposure,109,0.1407035175879397,27.0,197.0
trace_exposure,110,0.09465020576131687,22.0,241.0
trace_exposure,111,0.09236947791164658,22.0,247.0
trace_exposure,112,0.17266187050359713,23.0,137.0
trace_exposure,113,0.17857142857142858,19.0,110.0
trace_exposure,114,0.23943661971830985,16.0,69.0
trace_exposure,115,0.7142857142857143,44.0,61.0
trace_exposure,116,0.13709677419354838,16.0,122.0
trace_exposure,117,0.09433962264150944,14.0,157.0
trace_exposure,118,0.24691358024691357,39.0,160.0
trace_exposure,119,0.19196428571428573,42.0,222.0
trace_exposure,120,0.15137614678899083,32.0,216.0
trace_exposure,121,0.14893617021276595,34.0,233.0
trace_exposure,122,0.07377049180327869,17.0,242.0
trace_exposure,123,0.2876712328767123,41.0,144.0
trace_exposure,124,0.13392857142857142,14.0,110.0
trace_exposure,125,0.26744186046511625,22.0,84.0
trace_exposure,126,0.20833333333333334,19.0,94.0
