trip_id,vehicle_id,attempt_number,planned_index,actual_index,success,stopped_early,early_eligible_indices
228,22,1,97,97,True,False,
229,22,1,143,143,True,False,
230,23,1,24,29,True,True,37 29
231,23,1,46,46,False,False,
231,23,2,53,53,True,False,
232,23,1,99,99,True,False,
233,23,1,122,119,True,True,119 120 121
234,23,1,58,58,False,False,
234,23,2,32,32,False,False,41
234,23,3,32,32,False,False,
234,23,4,32,32,True,False,
235,23,1,74,74,True,False,
236,23,1,27,27,True,False,
237,23,1,70,70,True,False,
238,23,1,70,70,False,False,
238,23,2,70,70,False,False,
238,23,3,70,70,False,False,
238,23,4,85,85,True,False,
239,23,1,115,115,True,False,
240,24,1,114,114,False,False,113
240,24,2,114,114,False,False,
240,24,3,114,114,False,False,
240,24,4,113,113,True,False,
241,24,1,7,7,False,False,
241,24,2,5,5,True,False,4
242,24,1,78,78,True,False,
243,24,1,55,55,False,False,
243,24,2,55,55,True,False,
244,24,1,99,99,True,False,
245,24,1,18,17,True,True,17
246,24,1,3,3,False,False,
246,24,2,33,27,True,True,27
247,24,1,56,56,False,False,
247,24,2,56,56,True,False,
248,24,1,79,78,True,True,78
249,24,1,103,103,True,False,
250,25,1,29,29,True,False,
251,25,1,77,77,True,False,
252,25,1,73,73,False,False,
252,25,2,72,72,False,False,
252,25,3,73,73,False,False,
252,25,4,73,73,True,False,
253,25,1,97,97,False,False,
253,25,2,110,110,False,False,103
253,25,3,110,110,True,False,
254,25,1,34,34,True,False,
255,25,1,72,72,False,False,
255,25,2,74,74,True,False,
256,25,1,87,87,False,False,
256,25,2,83,83,False,False,
256,25,3,79,79,False,False,
256,25,4,87,87,False,False,
256,25,5,87,87,False,False,
256,25,6,78,83,True,True,83 80 79
257,25,1,10,10,True,False,13
258,25,1,77,77,True,False,
259,25,1,113,113,False,False,
259,25,2,106,112,True,True,112
260,26,1,16,16,True,False,
261,26,1,150,150,True,False,
262,26,1,5,5,False,False,
262,26,2,7,7,True,False,4
263,26,1,9,9,False,False,
263,26,2,9,9,True,False,
264,26,1,59,59,False,False,
264,26,2,73,73,True,False,
265,26,1,61,61,False,False,
265,26,2,61,61,True,False,
266,26,1,88,81,True,True,81 84
267,26,1,72,78,True,True,78 73
268,26,1,69,69,True,False,
269,26,1,63,63,True,False,
270,27,1,140,137,True,True,137
271,27,1,7,7,True,False,
272,27,1,114,114,False,False,
272,27,2,113,113,False,False,
272,27,3,113,113,False,False,
272,27,4,94,94,True,False,
273,27,1,58,72,True,True,72
274,27,1,140,140,True,False,
275,27,1,154,154,False,False,
275,27,2,147,147,False,False,
275,27,3,147,147,True,False,
276,27,1,31,31,True,False,
277,27,1,99,99,False,False,
277,27,2,99,99,True,False,
278,27,1,57,57,True,False,
279,27,1,78,78,False,False,
279,27,2,82,82,True,False,
280,28,1,81,81,True,False,
281,28,1,152,152,False,False,
